attendance_percent,daily_study_hours,weekly_consistency_score,previous_marks,assignments_submitted,assignment_completion_rate,sleep_hours,social_media_hours,department,final_marks
72.7,2.64,6.3,67.7,5,50.0,4.4,3.3,ECE,54.4
96.5,2.4,7.3,94.1,7,70.0,4.1,5.9,CSE,64.6
63.2,3.36,1.3,91.2,4,40.0,9.3,7.1,IT,53.0
97.7,0.93,7.2,37.6,2,20.0,8.0,1.0,CSE,47.0
94.3,1.09,9.1,44.9,5,50.0,9.6,5.1,ECE,48.1
51.7,5.17,1.8,42.9,3,30.0,7.2,4.7,IT,40.1
44.2,5.68,2.4,78.6,8,80.0,6.3,0.9,ECE,64.2
46.0,2.24,9.7,84.1,2,20.0,3.4,1.7,IT,41.2
41.1,1.62,1.8,47.8,3,30.0,7.7,2.5,ECE,29.9
45.7,3.86,8.5,65.4,6,60.0,7.1,1.3,CSE,58.8
81.0,2.45,4.9,85.4,6,60.0,9.9,1.9,CSE,60.7
44.3,0.15,2.5,79.0,3,30.0,4.7,2.1,ECE,30.5
59.1,0.94,8.7,67.5,5,50.0,6.7,2.7,ECE,49.3
90.7,4.3,4.5,70.4,2,20.0,7.6,6.0,ECE,63.0
41.4,3.95,5.1,65.5,5,50.0,7.5,4.6,IT,53.9
88.9,0.16,3.6,52.9,1,10.0,6.9,7.9,CSE,32.0
56.9,1.33,5.9,68.9,7,70.0,8.4,3.3,IT,42.5
47.1,1.39,1.6,76.3,1,10.0,4.4,6.0,CSE,22.7
81.8,4.03,3.9,87.4,10,100.0,8.1,7.0,AI&DS,66.0
77.7,0.12,9.7,73.2,6,60.0,7.3,5.4,IT,45.6
92.6,0.62,2.6,80.7,8,80.0,9.3,3.3,CSE,58.3
84.1,4.8,6.6,44.6,0,0.0,8.9,6.0,CSE,40.7
88.2,1.07,3.3,62.7,7,70.0,5.2,1.6,IT,61.2
56.9,3.92,7.7,35.6,6,60.0,4.9,2.6,IT,54.5
50.6,1.43,1.3,49.8,5,50.0,9.9,4.4,CSE,33.0
85.0,0.6,9.7,78.6,5,50.0,6.7,4.6,IT,53.3
88.4,1.46,4.5,94.5,5,50.0,9.3,0.2,ECE,71.8
99.4,4.33,2.4,41.0,8,80.0,4.1,7.6,IT,54.3
64.8,5.13,0.7,59.1,1,10.0,7.5,5.6,IT,50.6
62.3,4.98,1.7,83.0,0,0.0,8.7,4.0,IT,51.8
86.6,2.38,5.2,47.2,5,50.0,9.6,7.5,CSE,51.6
60.4,4.01,3.4,68.3,9,90.0,5.4,3.5,ECE,63.0
95.8,1.23,8.3,79.0,10,100.0,8.1,7.8,AI&DS,63.5
91.5,1.76,4.3,72.0,7,70.0,6.8,4.1,AI&DS,63.5
65.7,5.38,2.5,46.3,2,20.0,3.4,0.9,ECE,47.5
85.1,0.08,6.2,56.3,9,90.0,7.8,6.1,ECE,41.3
85.3,0.51,7.1,82.0,0,0.0,7.8,5.4,ECE,45.7
46.2,1.25,1.7,68.3,8,80.0,9.5,6.2,CSE,34.7
94.2,0.16,1.7,35.3,0,0.0,6.5,7.6,AI&DS,20.9
70.3,1.09,0.4,80.7,2,20.0,4.6,6.2,ECE,37.6
89.6,3.5,7.4,37.1,7,70.0,3.3,4.9,CSE,52.0
59.2,2.53,6.6,79.7,2,20.0,5.9,6.9,AI&DS,41.9
93.7,5.36,4.7,47.1,3,30.0,5.1,5.4,IT,53.8
63.4,4.9,8.4,92.5,7,70.0,8.3,3.3,CSE,78.1
40.7,2.05,8.1,57.1,0,0.0,5.5,7.1,AI&DS,28.3
94.3,1.56,5.9,54.6,5,50.0,9.6,1.8,CSE,59.9
45.5,2.28,8.7,43.9,0,0.0,9.7,5.7,AI&DS,25.9
59.2,3.54,2.1,53.3,0,0.0,7.3,7.1,AI&DS,38.7
97.0,1.61,1.1,87.6,7,70.0,9.5,5.9,IT,64.3
97.0,3.74,2.7,94.8,10,100.0,8.3,5.6,CSE,78.0
74.4,2.46,0.6,57.1,3,30.0,6.8,6.0,ECE,33.6
77.9,3.31,5.3,61.9,0,0.0,4.3,3.7,IT,40.4
66.9,2.62,9.4,78.3,9,90.0,6.2,7.0,IT,54.4
57.6,1.77,0.4,88.2,6,60.0,6.9,1.6,AI&DS,48.1
59.7,5.69,1.2,70.6,4,40.0,9.0,1.0,ECE,61.6
80.4,4.58,4.5,58.5,4,40.0,6.4,2.3,CSE,63.7
85.1,0.84,9.3,59.8,0,0.0,9.3,4.3,ECE,44.2
87.5,5.21,3.2,76.7,9,90.0,7.7,4.1,ECE,75.4
87.4,2.92,5.1,35.2,10,100.0,4.0,6.6,ECE,46.4
45.5,5.37,0.4,72.2,5,50.0,10.0,3.2,ECE,51.3
69.7,4.8,1.5,56.3,8,80.0,6.7,3.9,ECE,61.9
43.5,2.55,9.9,82.7,8,80.0,5.7,0.1,AI&DS,52.1
73.0,0.13,9.7,40.6,7,70.0,7.6,3.3,AI&DS,45.5
66.5,1.61,0.0,70.3,4,40.0,3.8,5.2,IT,34.7
93.3,3.25,9.5,63.9,0,0.0,7.5,0.1,AI&DS,69.3
61.1,3.8,6.4,73.5,8,80.0,6.5,2.2,IT,58.5
47.0,1.55,8.7,38.9,0,0.0,5.8,1.7,IT,26.8
48.6,0.84,4.5,69.8,7,70.0,9.7,0.3,CSE,50.2
85.7,5.01,5.2,68.7,4,40.0,6.7,3.8,ECE,54.9
77.1,5.91,4.9,68.6,2,20.0,4.5,1.5,AI&DS,70.4
46.1,3.15,6.7,71.2,10,100.0,6.2,5.9,CSE,52.5
45.0,1.03,1.4,75.6,6,60.0,9.4,6.8,AI&DS,39.0
82.1,1.63,0.3,83.3,6,60.0,4.2,4.4,IT,41.5
44.4,0.11,3.1,51.2,8,80.0,4.5,7.9,AI&DS,18.5
89.3,5.49,7.0,84.5,6,60.0,3.1,3.6,ECE,59.3
82.4,0.71,2.0,64.9,10,100.0,3.1,4.1,IT,41.2
44.9,3.46,6.7,39.6,2,20.0,8.8,7.9,IT,29.0
45.1,1.64,9.7,38.5,10,100.0,8.1,1.9,CSE,40.7
99.2,3.33,0.9,55.1,0,0.0,5.5,7.5,ECE,36.9
62.5,3.91,6.7,82.1,7,70.0,7.9,0.3,IT,61.3
62.2,4.98,4.4,77.5,2,20.0,5.8,3.6,ECE,53.6
88.8,1.24,8.7,82.3,7,70.0,9.7,0.6,AI&DS,73.5
96.8,0.07,1.8,66.0,7,70.0,9.8,5.8,ECE,43.6
99.2,0.82,6.9,61.4,4,40.0,5.7,4.9,IT,56.5
85.2,5.4,8.4,43.8,0,0.0,9.0,5.7,CSE,57.7
62.6,5.24,9.4,54.7,9,90.0,8.4,3.0,IT,76.5
45.0,3.58,6.8,61.0,6,60.0,5.2,3.0,ECE,45.0
86.6,3.6,5.0,40.3,9,90.0,4.6,0.4,ECE,59.2
73.5,3.99,6.2,48.2,4,40.0,6.2,2.8,IT,55.7
65.5,1.05,8.7,70.9,7,70.0,8.5,7.4,ECE,37.3
94.4,5.49,5.7,79.1,8,80.0,9.7,3.0,AI&DS,81.5
46.7,2.51,0.3,94.9,10,100.0,8.3,6.7,IT,47.6
69.6,2.3,9.3,91.0,6,60.0,9.0,6.7,CSE,62.8
40.7,3.11,6.9,73.6,6,60.0,7.2,3.0,IT,55.2
68.1,0.28,6.8,60.3,0,0.0,8.8,5.1,AI&DS,37.5
43.4,1.0,2.2,73.2,3,30.0,8.5,0.8,AI&DS,35.9
47.1,4.43,6.6,82.1,1,10.0,5.6,0.8,AI&DS,60.5
47.1,0.5,3.9,42.1,1,10.0,6.9,0.4,AI&DS,36.8
79.0,3.62,6.5,59.6,1,10.0,8.6,4.6,AI&DS,50.6
84.8,1.47,1.1,85.4,3,30.0,3.3,3.4,CSE,40.7
75.0,2.34,6.6,58.0,0,0.0,8.7,4.4,ECE,39.6
97.7,1.73,10.0,69.3,3,30.0,4.2,4.2,AI&DS,60.3
62.5,2.13,0.5,70.3,1,10.0,6.6,2.8,AI&DS,52.6
57.1,4.31,9.8,46.1,4,40.0,8.7,5.4,IT,45.0
92.1,1.78,4.1,56.7,2,20.0,4.8,6.1,CSE,33.8
53.4,3.4,8.7,55.1,7,70.0,4.7,0.1,CSE,62.0
97.8,2.86,7.8,36.6,3,30.0,5.8,1.7,ECE,51.9
40.7,3.98,5.7,36.5,0,0.0,9.3,5.7,CSE,34.7
98.2,5.62,7.4,84.9,0,0.0,3.0,3.1,IT,69.2
42.6,4.4,8.8,51.4,9,90.0,9.3,5.3,IT,52.8
93.5,1.29,4.0,66.1,2,20.0,4.1,2.8,ECE,47.5
71.7,0.19,3.3,52.9,8,80.0,9.9,3.1,IT,43.5
99.6,1.57,6.7,91.4,6,60.0,9.7,1.3,AI&DS,68.7
44.4,3.57,8.1,50.6,1,10.0,6.5,2.1,AI&DS,34.6
73.2,0.31,7.6,60.8,8,80.0,6.6,4.8,IT,47.1
98.2,2.98,8.0,87.4,9,90.0,6.4,3.5,ECE,83.2
71.4,3.58,4.4,85.5,1,10.0,7.4,6.2,CSE,41.7
77.8,2.01,8.2,46.2,2,20.0,3.6,6.8,ECE,29.1
81.7,4.63,1.2,83.2,10,100.0,3.2,4.3,CSE,66.3
67.3,0.64,5.4,62.5,9,90.0,3.4,6.1,IT,38.5
77.7,0.45,0.1,64.0,1,10.0,6.1,2.5,IT,37.0
75.1,4.37,3.2,43.0,2,20.0,4.9,3.3,AI&DS,42.2
94.1,2.97,3.7,39.8,5,50.0,7.4,5.7,CSE,54.7
42.7,4.13,4.0,78.7,8,80.0,9.9,3.1,ECE,56.1
56.9,2.61,7.0,64.8,8,80.0,5.7,4.7,IT,53.3
97.0,1.48,3.9,61.2,6,60.0,7.0,1.5,ECE,60.4
93.4,4.91,4.5,78.8,2,20.0,5.9,4.8,AI&DS,63.0
67.3,4.8,2.4,80.9,3,30.0,8.9,6.9,CSE,54.4
77.2,4.17,3.7,44.5,5,50.0,9.3,6.9,CSE,47.3
56.6,1.63,2.3,71.6,10,100.0,9.1,5.8,IT,39.4
51.3,3.54,0.7,43.1,4,40.0,9.8,6.0,CSE,37.8
67.8,2.17,6.0,80.1,1,10.0,3.2,4.5,IT,44.5
61.2,0.55,6.7,74.4,5,50.0,8.9,4.7,AI&DS,32.1
75.0,5.5,6.2,92.4,2,20.0,8.3,1.1,CSE,71.0
44.7,0.82,4.6,39.1,7,70.0,4.6,3.6,IT,34.6
98.5,5.7,3.8,38.4,1,10.0,9.7,3.6,ECE,48.4
99.2,2.68,8.6,51.9,0,0.0,4.0,7.7,IT,45.5
